segment,count,avg_recency,avg_frequency,avg_monetary,total_revenue,avg_ltv,total_ltv,customer_pct,revenue_pct
Needs Attention,13216,277.67,1.05,201.2,2659083.29,402.4,5318166.58,14.16,17.24
At Risk,15497,419.85,1.02,140.0,2169619.02,280.01,4339238.04,16.6,14.07
Potential Loyalists,11649,57.49,1.0,166.21,1936233.74,332.43,3872467.48,12.48,12.55
Promising,8624,165.86,1.0,198.92,1715491.55,397.84,3430983.1,9.24,11.12
Others,7195,209.99,1.0,217.36,1563871.58,434.71,3127743.16,7.71,10.14
Loyal Customers,10105,121.55,1.11,141.14,1426266.04,282.29,2852532.08,10.82,9.25
Recent Customers,5809,57.82,1.0,161.87,940277.63,323.73,1880555.26,6.22,6.1
Lost,2861,453.73,1.0,266.91,763626.27,533.82,1527252.54,3.06,4.95
Champions,1781,58.64,1.36,408.15,726916.06,816.3,1453832.12,1.91,4.71
Can't Lose Them,1538,451.39,1.24,404.97,622839.67,809.93,1245679.34,1.65,4.04
About to Sleep,8854,221.45,1.0,56.71,502141.72,113.43,1004283.44,9.48,3.26
Hibernating,6229,450.31,1.0,63.59,396095.2,127.18,792190.4,6.67,2.57
